restaurant_name,slug,address,distance_m,currency,online,self_delivery,delivery_estimate,delivery_fee_eur,original_delivery_price_eur,service_fee_pct,service_fee_min_eur,service_fee_max_eur,minimum_basket_eur,minimum_basket_type
Leggiero - Savica,leggiero-savica,Lastovska ulica 42,234,EUR,Yes,No,15-25 min,0.29,0.29,10,2.99,2.99,7.00,None
Gyotaku Sushi - Savica,gyotaku-sushi-savica,Lastovska 42,234,EUR,Yes,No,15-25 min,0.00,,,,,,None
Pilipino House,pilipino-house,This is a virtual venue,337,EUR,Yes,No,25-35 min,0.29,0.29,10,2.99,2.99,7.00,None
Pizzeria Loop,pizzeria-loop,Otona Župančića 18,372,EUR,Yes,No,25-35 min,0.29,0.29,10,2.99,2.99,7.00,None
Casper Grill,casper-grill,Lastovska 2a,418,EUR,Yes,No,25-35 min,0.00,,,,,,None
Kile’s tasty grill - Savica,kiles-tasty-grill,Lastovska 2a,457,EUR,Yes,No,25-35 min,0.29,0.29,10,2.99,2.99,7.00,None
Yummy Pizza - Borovje,yummy-pizza,Dane Duića 5,477,EUR,Yes,No,25-35 min,0.55,0.55,10,2.99,2.99,7.00,None
Batak - Savica,batak-grill-savica,Lastovska 1A,756,EUR,Yes,No,35-45 min,0.79,0.79,10,2.99,2.99,7.00,None
Wokstar - Rapska,wokstar-rapska,Rapska 4a,833,EUR,Yes,No,25-35 min,0.00,,,,,,None
McDonald's - Kruge,mcdrive-kruge,Pile I br. 2,864,EUR,Yes,No,20-30 min,1.15,1.15,10,2.99,2.99,7.00,None
Gladne oči - Korčulanska,gladne-oci-korulanska,Korčulanska 1,866,EUR,Yes,No,30-40 min,0.79,0.79,10,2.99,2.99,7.00,None
China House,china-house-zagreb,Šipanska 16,906,EUR,Yes,No,20-30 min,0.79,0.79,10,2.99,2.99,7.00,None
